ds100,name,lat,lon,elevation_m
RSFD,Sulzfeld (Baden),49.1080902,8.8529711,194.0
ENV,Velbert-Neviges,51.3130366,7.0907992,156.0
LMG,Merseburg Hauptbahnhof,51.3568506,11.9904345,100.0
ATK,Tiefstack,53.531284,10.065495,5.0
EGBO,Gladbeck Ost,51.5756952,6.9947055,70.0
TBU,Burgstall (Murr),48.9283901,9.3694273,237.0
TKIM,Kirchberg (Murr),48.9391835,9.3287355,210.0
TBIL,Bilfingen,48.9487165,8.6204628,208.0
TEB,Eutingen (Baden),48.9098727,8.7438155,267.0
KDF,Düsseldorf Flughafen Terminal,51.2781696,6.7668377,49.0
ABHT,Bokholt,53.7861143,9.7168044,13.0
AVSL,Voßloch,53.7906315,9.7359818,12.0
THMA,Hermaringen,48.5944717,10.2584972,454.0
NKM,Klingenberg (Main),49.7815057,9.1764213,129.0
NKLH,Kleinheubach,49.7214401,9.2074701,131.0
NLK,Laudenbach am Main,49.7422695,9.1791528,130.0
TSU P,Stuttgart-Untertürkheim,48.7798209,9.2504725,228.0
WTO,Torgelow,53.6345969,14.008688,14.0
WBLK,Blumenhagen,53.5282995,13.872035,46.0
WSB,Strasburg (Uckermark),53.5151195,13.7434324,65.0
WOE,Oertzenhof,53.51802,13.5729263,101.0
WN,Neubrandenburg,53.5618868,13.2615857,18.0
USDF,Sitzendorf-Unterweißbach,50.627356,11.1553703,314.0
TWB,Bad Wildbad Bahnhof,48.7555586,8.5510705,427.0
BJUE,Jüterbog,51.9974208,13.0540462,86.0
SHB,Heimbach (Nahe),49.6175987,7.230883,353.0
SNON,Nohen,49.6399326,7.2424314,332.0
SKRO,Kronweiler,49.6555048,7.262351,297.0
WWMW,Warnemünde Werft,54.1695468,12.086234,2.0
TGN,Geroldshausen,49.6873763,9.9038023,320.0
LH,Halle (Saale) Hauptbahnhof,51.4774872,11.9872964,110.0
RFU,Furschenbach,48.5799041,8.1349235,251.0
KDBWN,Dormagen Chempark,51.0772178,6.8380689,44.0
HHML,Hannover Messe/Laatzen,52.3173696,9.7924818,68.0
ASTE,Stelle,53.3874932,10.1094826,7.0
